zone_name,carrier,cost_tier,p_nom_max_mw,capacity_density,capex_multiplier,connection_type,distance_to_coast_km,centroid_x,centroid_y
Z7,onwind,,17827.95,3.0,,,,,
Z6,onwind,,28447.1,3.0,,,,,
Z5,onwind,,20017.37,3.0,,,,,
Z3,onwind,,23417.16,3.0,,,,,
Z2,onwind,,23072.83,3.0,,,,,
Z1_4,onwind,,18595.32,3.0,,,,,
Z1_2,onwind,,2900.75,3.0,,,,,
Z1_3,onwind,,19947.89,3.0,,,,,
Z1_1,onwind,,2590.25,3.0,,,,,
Z4,onwind,,4672.13,3.0,,,,,
Z12,onwind,,32659.46,3.0,,,,,
Z14,onwind,,3442.32,3.0,,,,,
Z15,onwind,,3385.57,3.0,,,,,
Z17,onwind,,22614.06,3.0,,,,,
Z16,onwind,,9226.47,3.0,,,,,
Z13,onwind,,32636.61,3.0,,,,,
Z11,onwind,,34357.29,3.0,,,,,
Z10,onwind,,7522.07,3.0,,,,,
Z9,onwind,,23623.61,3.0,,,,,
Z8,onwind,,19869.59,3.0,,,,,
Z7,solar,,260866.74,50.0,,,,,
Z6,solar,,419945.12,50.0,,,,,
Z5,solar,,259432.18,50.0,,,,,
Z3,solar,,321643.93,50.0,,,,,
Z2,solar,,318812.35,50.0,,,,,
Z1_4,solar,,306141.11,50.0,,,,,
Z1_2,solar,,51160.96,50.0,,,,,
Z1_3,solar,,324811.36,50.0,,,,,
Z1_1,solar,,45139.42,50.0,,,,,
Z4,solar,,80532.77,50.0,,,,,
Z12,solar,,513052.72,50.0,,,,,
Z14,solar,,9380.16,50.0,,,,,
Z15,solar,,46195.27,50.0,,,,,
Z17,solar,,371190.59,50.0,,,,,
Z16,solar,,138623.07,50.0,,,,,
Z13,solar,,470834.6,50.0,,,,,
Z11,solar,,465376.53,50.0,,,,,
Z10,solar,,124972.77,50.0,,,,,
Z9,solar,,261189.74,50.0,,,,,
Z8,solar,,243229.17,50.0,,,,,
Z7,smr,,1306306.79,300.0,,,,,
Z6,smr,,0.0,300.0,,,,,
Z5,smr,,0.0,300.0,,,,,
Z3,smr,,0.0,300.0,,,,,
Z2,smr,,0.0,300.0,,,,,
Z1_4,smr,,0.0,300.0,,,,,
Z1_2,smr,,0.0,300.0,,,,,
Z1_3,smr,,0.0,300.0,,,,,
Z1_1,smr,,0.0,300.0,,,,,
Z4,smr,,0.0,300.0,,,,,
Z12,smr,,2467940.28,300.0,,,,,
Z14,smr,,8757.45,300.0,,,,,
Z15,smr,,163357.22,300.0,,,,,
Z17,smr,,1834526.93,300.0,,,,,
Z16,smr,,547090.01,300.0,,,,,
Z13,smr,,2357780.22,300.0,,,,,
Z11,smr,,2335137.02,300.0,,,,,
Z10,smr,,583064.07,300.0,,,,,
Z9,smr,,1224660.46,300.0,,,,,
Z8,smr,,1100850.43,300.0,,,,,
DOGGER_BANK,offwind-fixed-dc,F1,9783.84,3.0,1.0,DC,109.24,671681.2,629422.8
DOGGER_BANK,offwind-float-dc,FL1,1531.14,2.0,1.0,DC,64.75,673892.8,637718.0
HORNSEA,offwind-fixed-ac,F1,191.12,4.0,1.0,AC,36.61,575603.3,444298.1
HORNSEA,offwind-fixed-ac,F2a,23.56,4.0,1.1,AC,38.73,581206.9,442369.0
HORNSEA,offwind-fixed-ac,F3a,1.12,4.0,1.2,AC,13.5,575039.3,447939.3
HORNSEA,offwind-fixed-dc,F1,3471.15,3.0,1.0,DC,113.32,673140.1,455537.2
HORNSEA,offwind-float-dc,FL1,312.82,2.0,1.0,DC,64.75,680448.4,462906.1
Z13,offwind-fixed-ac,F3a,0.24,4.0,1.2,AC,5.23,179466.7,220100.0
Z17,offwind-fixed-ac,F3a,7.88,4.0,1.2,AC,5.23,139071.3,30231.7
Z1_1,offwind-fixed-ac,F2a,24.44,4.0,1.1,AC,11.09,441369.3,1161886.5
Z1_1,offwind-fixed-ac,F2b,5.04,4.0,1.15,AC,39.55,451601.6,1172320.6
Z1_1,offwind-fixed-ac,F3a,445.48,4.0,1.2,AC,5.23,445194.1,1167528.1
Z1_1,offwind-fixed-ac,F3b,50.72,4.0,1.3,AC,30.51,446059.2,1161078.8
Z1_1,offwind-float-ac,FL2a,0.81,3.0,1.1,AC,0.1,452909.3,1173835.2
Z1_1,offwind-float-ac,FL3a,12.57,3.0,1.2,AC,31.2,445568.4,1150993.0
Z1_2,offwind-fixed-ac,F2a,31.04,4.0,1.1,AC,11.09,127193.3,936804.1
Z1_2,offwind-fixed-ac,F3a,66.6,4.0,1.2,AC,5.23,93085.4,875896.5
Z1_3,offwind-fixed-ac,F2a,119.84,4.0,1.1,AC,11.25,286006.9,983399.8
Z1_3,offwind-fixed-ac,F2b,1.76,4.0,1.15,AC,39.55,215759.1,936309.1
Z1_3,offwind-fixed-ac,F3a,70.6,4.0,1.2,AC,5.23,347806.8,1008969.6
Z1_3,offwind-fixed-ac,F3b,2.56,4.0,1.3,AC,30.51,324060.9,989543.8
Z1_3,offwind-float-ac,FL3a,1.8,3.0,1.2,AC,31.2,324266.7,990386.7
Z1_4,offwind-fixed-ac,F2a,15.44,4.0,1.1,AC,11.16,131047.7,736744.3
Z1_4,offwind-fixed-ac,F3a,43.84,4.0,1.2,AC,5.43,129428.0,769197.7
Z1_4,offwind-fixed-ac,F3b,1.04,4.0,1.3,AC,42.94,119930.8,848103.8
Z2,offwind-fixed-ac,F2a,6.36,4.0,1.1,AC,11.09,413594.0,843467.0
Z4,offwind-fixed-ac,F2a,15.44,4.0,1.1,AC,16.82,128866.8,665498.7
Z4,offwind-fixed-ac,F3a,10.6,4.0,1.2,AC,5.23,134207.4,679044.3
Z4,offwind-fixed-dc,F1,0.36,3.0,1.0,DC,115.77,140025.0,691316.7
Z6,offwind-fixed-ac,F2a,4.72,4.0,1.1,AC,11.09,227021.2,547735.6
Z6,offwind-fixed-ac,F3a,13.0,4.0,1.2,AC,5.23,202763.8,552539.2
Z9,offwind-fixed-ac,F3a,0.4,4.0,1.2,AC,5.23,220230.0,375820.0
